text,category,source
I want to report: Intimidation to withdraw legal case,Harassment,synthetic
Requesting immediate action: Illegal sand mining allowed after paying minor officials,Corruption,synthetic
I want to report: No response to RTI application filed three months ago,Service Delay,synthetic
Serious problem: Funds for poor people were stolen by local representative,Corruption,synthetic
There is a problem in our colony. Open manhole on the sidewalk is dangerous,Utility Issue,synthetic
I am facing a major issue. Sewage overflow on the main road near our house,Utility Issue,synthetic
I am facing a major issue. Utility connection request pending for months,Service Delay,synthetic
"Dear Sir, Electricity meter showing wrong readings",Utility Issue,synthetic
Urgent: Tree branches touching transformers causing sparks,Utility Issue,synthetic
Serious problem: Broken power line hanging dangerously,Utility Issue,synthetic
Requesting immediate action: Credit card charged for services not availed,Financial Issue,synthetic
I am facing a major issue. Public distribution system grain being sold in black market,Corruption,synthetic
I am facing a major issue. Portal is showing processing for the last 90 days,Service Delay,synthetic
"Dear Sir, No action against repeated domestic violence",Law Enforcement Issue,synthetic
Complaint regarding: Double billing for water supply,Financial Issue,synthetic
Serious problem: Mental torture by management,Harassment,synthetic
Urgent: Unauthorized deductions from my salary,Financial Issue,synthetic
Issue: Religious discrimination in public service Please help.,Harassment,synthetic
I want to report: Bank refusing to process my loan application,Financial Issue,synthetic
I am facing a major issue. Inappropriate physical contact during work,Harassment,synthetic
There is a problem in our colony. Blackmail by someone with power,Harassment,synthetic
Serious problem: Hospital staff charging for free medicines provided by government,Corruption,synthetic
Issue: Blackmail by someone with power Please help.,Harassment,synthetic
Issue: Sexual harassment by senior officer in the department Please help.,Harassment,synthetic
I am facing a major issue. Income certificate verification is pending with tehsildar,Service Delay,synthetic
Issue: Domestic abuse reported but no police arrival Please help.,Law Enforcement Issue,synthetic
There is a problem in our colony. Police officer using abusive language with citizens,Law Enforcement Issue,synthetic
Complaint regarding: Loud noise from illegal factory in residential zone,Utility Issue,synthetic
Urgent: Street flooding after every minor rain,Utility Issue,synthetic
There is a problem in our colony. Bounced check from government department,Financial Issue,synthetic
Issue: Corruption within the police department Please help.,Law Enforcement Issue,synthetic
Complaint regarding: Drainage blocked causing flooding during rain,Utility Issue,synthetic
Requesting immediate action: Bureaucratic hurdles in simple document verification,Service Delay,synthetic
I want to report: Incessant load shedding during summer,Utility Issue,synthetic
There is a problem in our colony. Open manhole on the sidewalk is dangerous,Utility Issue,synthetic
Serious problem: No water supply in our area for the past three days,Utility Issue,synthetic
Requesting immediate action: Credit card charged for services not availed,Financial Issue,synthetic
Complaint regarding: Utility connection request pending for months,Service Delay,synthetic
Complaint regarding: Threatened with termination for filing complaint,Harassment,synthetic
Serious problem: No water supply in our area for the past three days,Utility Issue,synthetic
Police harassment during peaceful protest,Law Enforcement Issue,synthetic
Requesting immediate action: Inadequate security for public events,Law Enforcement Issue,synthetic
I want to report: Withholding my salary as a means of control,Harassment,synthetic
"Dear Sir, Stock market fraud affecting my savings",Financial Issue,synthetic
There is a problem in our colony. Failure to investigate suspicious death in my lane,Law Enforcement Issue,synthetic
Requesting immediate action: Potholes on the main highway causing traffic,Utility Issue,synthetic
Requesting immediate action: Abuse of authority to target personal enemies,Harassment,synthetic
Urgent: Municipal council taking too long for garbage pickup,Service Delay,synthetic
I want to report: Contractor paid kickback to get the tender approved,Corruption,synthetic
Urgent: Illegal recruitment process in government department,Corruption,synthetic
Serious problem: Pension papers stuck in bureaucratic process,Service Delay,synthetic
Issue: Pension officer claiming files are lost unless I pay him Please help.,Corruption,synthetic
I want to report: Drought relief fund not distributed correctly,Financial Issue,synthetic
There is a problem in our colony. Driving license renewal taking too long,Service Delay,synthetic
There is a problem in our colony. Delay in processing student scholarship,Service Delay,synthetic
Serious problem: Aadhar card update pending for weeks,Service Delay,synthetic
Requesting immediate action: Malfunctioning traffic lights at main crossing,Utility Issue,synthetic
Urgent: Garbage not collected from our street regularly,Utility Issue,synthetic
Complaint regarding: Portal is showing processing for the last 90 days,Service Delay,synthetic
Issue: Unexplained fees for government services Please help.,Financial Issue,synthetic
Serious problem: Aadhar card update pending for weeks,Service Delay,synthetic
Serious problem: Sewer lines are choked and backing up into basements,Utility Issue,synthetic
I want to report: Stock market fraud affecting my savings,Financial Issue,synthetic
I am facing a major issue. Embezzlement of funds meant for welfare scheme,Corruption,synthetic
Urgent: Fake vouchers submitted for government travel reimbursement,Corruption,synthetic
There is a problem in our colony. Security clearance for employment is taking forever,Service Delay,synthetic
Complaint regarding: Corruption in local council office,Corruption,synthetic
I am facing a major issue. Application lost in transit between offices,Service Delay,synthetic
I am facing a major issue. Traffic sergeant took my license without a receipt,Law Enforcement Issue,synthetic
Urgent: Forced into overtime without pay through threats,Harassment,synthetic
Serious problem: Drug dealing in front of police station,Law Enforcement Issue,synthetic
Serious problem: Police harassment during peaceful protest,Law Enforcement Issue,synthetic
"Dear Sir, Withholding my salary as a means of control",Harassment,synthetic
"Dear Sir, No response to RTI application filed three months ago",Service Delay,synthetic
Urgent: Health card issuance delayed,Service Delay,synthetic
Requesting immediate action: Safety concerns at public place not addressed,Law Enforcement Issue,synthetic
I want to report: Cyber crime department not taking my case seriously,Law Enforcement Issue,synthetic
Water smells like chemicals in our taps,Utility Issue,synthetic
"Dear Sir, Tax inspector demanding bribe to reduce assessment",Corruption,synthetic
Urgent: Official at counter says the system is down for a week,Service Delay,synthetic
There is a problem in our colony. Delay in processing student scholarship,Service Delay,synthetic
Serious problem: Fraudulent billing by government contractor,Corruption,synthetic
Water pipeline leaking causing road damage,Utility Issue,synthetic
I want to report: Mental health issues caused by toxic workspace,Harassment,synthetic
Urgent: Property registration delayed without explanation,Service Delay,synthetic
Serious problem: Illegal weapons found but no investigation,Law Enforcement Issue,synthetic
Issue: Illegal activities in neighborhood ignored by police Please help.,Law Enforcement Issue,synthetic
I am facing a major issue. Failure to serve court summons,Law Enforcement Issue,synthetic
Urgent: Irrigation water diverted to big farms through bribery,Corruption,synthetic
"Dear Sir, Call center for grievances never picks up the phone",Service Delay,synthetic
Serious problem: Verbal abuse from government official during visit,Harassment,synthetic
Complaint regarding: Public distribution system grain being sold in black market,Corruption,synthetic
I want to report: High voltage causing damage to appliances,Utility Issue,synthetic
Serious problem: Illegal weapons found but no investigation,Law Enforcement Issue,synthetic
There is a problem in our colony. Streetlights not working in our colony for weeks,Utility Issue,synthetic
Issue: Broken street sign causing confusion Please help.,Utility Issue,synthetic
Serious problem: Fraudulent billing by government contractor,Corruption,synthetic
There is a problem in our colony. Domestic abuse reported but no police arrival,Law Enforcement Issue,synthetic
Issue: Dust pollution from construction site without covers Please help.,Utility Issue,synthetic
There is a problem in our colony. Funds allocated for school being stolen by officials,Corruption,synthetic
Complaint regarding: Incorrect tax assessment on my property,Financial Issue,synthetic
Broken power line hanging dangerously,Utility Issue,synthetic
"Dear Sir, Illegal search and seizure without warrant",Law Enforcement Issue,synthetic
Requesting immediate action: Illegal commission charged for permit approval,Corruption,synthetic
Requesting immediate action: Health card issuance delayed,Service Delay,synthetic
Issue: Pension not credited to account for three months Please help.,Financial Issue,synthetic
Requesting immediate action: Potholes on the main highway causing traffic,Utility Issue,synthetic
Serious problem: Subsidies promised are not reaching my account,Financial Issue,synthetic
Death certificate application is stuck for 40 days,Service Delay,synthetic
"Dear Sir, No security provided despite threat to life",Law Enforcement Issue,synthetic
Urgent: Misuse of public funds in road construction project,Corruption,synthetic
I want to report: Call center for grievances never picks up the phone,Service Delay,synthetic
I am facing a major issue. Traffic police demanding illegal fine,Law Enforcement Issue,synthetic
Requesting immediate action: Waiting for approval of hospital bill reimbursement,Service Delay,synthetic
I am facing a major issue. Officer asked for money under the table to clear my file,Corruption,synthetic
There is a problem in our colony. Traffic laws not enforced on high-speed road,Law Enforcement Issue,synthetic
Police brutality during questioning,Law Enforcement Issue,synthetic
Issue: Ration card application still under process Please help.,Service Delay,synthetic
Urgent: Inadequate security for public events,Law Enforcement Issue,synthetic
I am facing a major issue. Embezzlement of funds meant for welfare scheme,Corruption,synthetic
Issue: Security clearance for employment is taking forever Please help.,Service Delay,synthetic
Complaint regarding: Double billing for water supply,Financial Issue,synthetic
I am facing a major issue. Methane leak from neighborhood landfill,Utility Issue,synthetic
Requesting immediate action: Malfunctioning traffic lights at main crossing,Utility Issue,synthetic
Urgent: Cyberbullying by colleagues on social media groups,Harassment,synthetic
Requesting immediate action: Error in interest calculation for mortgage,Financial Issue,synthetic
There is a problem in our colony. Broken street sign causing confusion,Utility Issue,synthetic
Hidden charges in bank statement,Financial Issue,synthetic
Issue: Student grant money never arrived in bank Please help.,Financial Issue,synthetic
I am facing a major issue. Lack of police patrolling at night,Law Enforcement Issue,synthetic
Urgent: Service tax charged after it was abolished,Financial Issue,synthetic
Serious problem: Inordinate delay in processing industrial permit,Service Delay,synthetic
Issue: Salary delayed for three months Please help.,Financial Issue,synthetic
I want to report: Mental health issues caused by toxic workspace,Harassment,synthetic
I want to report: No lady constable present during my arrest at night,Law Enforcement Issue,synthetic
Police not registering FIR for theft complaint,Law Enforcement Issue,synthetic
Pension papers stuck in bureaucratic process,Service Delay,synthetic
I want to report: Freedom fighter pension application hasn't moved for a year,Service Delay,synthetic
Requesting immediate action: Fraudulent transaction on debit card,Financial Issue,synthetic
There is a problem in our colony. Illegal construction on storm water drains,Utility Issue,synthetic
Police harassment during peaceful protest,Law Enforcement Issue,synthetic
Complaint regarding: Garbage bin overflowing in public park,Utility Issue,synthetic
Requesting immediate action: Illegal commission charged for permit approval,Corruption,synthetic
There is a problem in our colony. Favoritism shown in awarding government contracts,Corruption,synthetic
I want to report: Marriage certificate registration pending,Service Delay,synthetic
I am facing a major issue. Facing threats from local goons with political connections,Harassment,synthetic
Requesting immediate action: Health card issuance delayed,Service Delay,synthetic
Issue: Officer demanding percentage of my contract payment Please help.,Corruption,synthetic
I want to report: Hostile work environment due to constant criticism,Harassment,synthetic
There is a problem in our colony. Ration card application still under process,Service Delay,synthetic
Requesting immediate action: Error in interest calculation for mortgage,Financial Issue,synthetic
I am facing a major issue. Birth certificate not issued despite multiple visits,Service Delay,synthetic
"Dear Sir, Hidden fees charged without disclosure",Financial Issue,synthetic
Urgent: Waiting for approval of hospital bill reimbursement,Service Delay,synthetic
There is a problem in our colony. Religious discrimination in public service,Harassment,synthetic
I am facing a major issue. Drainage blocked causing flooding during rain,Utility Issue,synthetic
"Dear Sir, High voltage causing damage to appliances",Utility Issue,synthetic
Government official demanded bribe for processing my application,Corruption,synthetic
Contaminated water coming from public pump,Utility Issue,synthetic
Issue: Police officer using abusive language with citizens Please help.,Law Enforcement Issue,synthetic
Serious problem: Pension papers stuck in bureaucratic process,Service Delay,synthetic
I am facing a major issue. Facing threats from local goons with political connections,Harassment,synthetic
Issue: Religious discrimination in public service Please help.,Harassment,synthetic
Complaint regarding: Electricity department worker asking for money to fix transformer,Corruption,synthetic
No update on application for housing scheme,Service Delay,synthetic
Serious problem: Customs officer asking for illegal fee,Corruption,synthetic
Subsidies promised are not reaching my account,Financial Issue,synthetic
Death certificate application is stuck for 40 days,Service Delay,synthetic
Customs officer asking for illegal fee,Corruption,synthetic
I want to report: Police taking sides in property dispute,Law Enforcement Issue,synthetic
I want to report: Official accepted bribe to overlook violations,Corruption,synthetic
"Dear Sir, Cyber crime department not taking my case seriously",Law Enforcement Issue,synthetic
Requesting immediate action: Embezzlement detection in local branch,Financial Issue,synthetic
I want to report: Low water pressure making it hard to use,Utility Issue,synthetic
Requesting immediate action: Irrigation water diverted to big farms through bribery,Corruption,synthetic
I want to report: Voter list manipulation by election officers,Corruption,synthetic
Water tank is never cleaned and full of moss,Utility Issue,synthetic
Complaint regarding: Illegal gambling den running with local police support,Law Enforcement Issue,synthetic
"Dear Sir, Incessant load shedding during summer",Utility Issue,synthetic
Requesting immediate action: Inadequate security for public events,Law Enforcement Issue,synthetic
Requesting immediate action: Official at counter says the system is down for a week,Service Delay,synthetic
Serious problem: Constant calls at night from office supervisor,Harassment,synthetic
There is a problem in our colony. Salary delayed for three months,Financial Issue,synthetic
Serious problem: Death certificate application is stuck for 40 days,Service Delay,synthetic
There is a problem in our colony. Dust pollution from construction site without covers,Utility Issue,synthetic
Issue: Unexplained fees for government services Please help.,Financial Issue,synthetic
Urgent: Illegal recruitment process in government department,Corruption,synthetic
There is a problem in our colony. Officer demanding percentage of my contract payment,Corruption,synthetic
"Dear Sir, Trade license renewal taking forever",Service Delay,synthetic
Issue: Police officer asking for bribe to release vehicle Please help.,Corruption,synthetic
Issue: Failure to investigate suspicious death in my lane Please help.,Law Enforcement Issue,synthetic
Requesting immediate action: Illegal sand mining allowed after paying minor officials,Corruption,synthetic
There is a problem in our colony. Corruption within the police department,Law Enforcement Issue,synthetic
Issue: Pension officer claiming files are lost unless I pay him Please help.,Corruption,synthetic
There is a problem in our colony. Delay in processing student scholarship,Service Delay,synthetic
There is a problem in our colony. Bank teller stole money from my fixed deposit,Financial Issue,synthetic
I want to report: Withholding my salary as a means of control,Harassment,synthetic
I want to report: File moving too slowly between departments,Service Delay,synthetic
Issue: Nepotism in hiring at the municipal office Please help.,Corruption,synthetic
Refund not processed for cancelled service,Financial Issue,synthetic
I am facing a major issue. Utility connection request pending for months,Service Delay,synthetic
Urgent: Toxic waste being dumped into the local pond,Utility Issue,synthetic
Urgent: Potholes on the main highway causing traffic,Utility Issue,synthetic
"Dear Sir, Hidden fees charged without disclosure",Financial Issue,synthetic
Complaint regarding: Public distribution system grain being sold in black market,Corruption,synthetic
Serious problem: Police brutality during questioning,Law Enforcement Issue,synthetic
Complaint regarding: Denial of promotion due to personal grudge,Harassment,synthetic
Overcharged on electricity bill this month,Financial Issue,synthetic
Serious problem: Bribe requested for passport verification,Corruption,synthetic
I want to report: Official accepted bribe to overlook violations,Corruption,synthetic
There is a problem in our colony. Nepotism in hiring at the municipal office,Corruption,synthetic
There is a problem in our colony. Salary delayed for three months,Financial Issue,synthetic
There is a problem in our colony. Name correction in school records is taking ages,Service Delay,synthetic
Mental torture by management,Harassment,synthetic
Police not registering FIR for theft complaint,Law Enforcement Issue,synthetic
Serious problem: Thieves broke in but police said it was a small matter,Law Enforcement Issue,synthetic
Issue: Delay in processing student scholarship Please help.,Service Delay,synthetic
There is a problem in our colony. Security clearance for employment is taking forever,Service Delay,synthetic
Urgent: Illegal recruitment process in government department,Corruption,synthetic
Threatened by landlord who is a government servant,Harassment,synthetic
Requesting immediate action: Harassed by inspector during routine check,Harassment,synthetic
Complaint regarding: Casteist slurs used against me in office,Harassment,synthetic
Issue: Bounced check from government department Please help.,Financial Issue,synthetic
"Dear Sir, Street sweepers never come to our lane",Utility Issue,synthetic
Requesting immediate action: Unauthorized deductions from my salary,Financial Issue,synthetic
Complaint regarding: Failure to report crime by officer,Law Enforcement Issue,synthetic
Issue: Poor road conditions with multiple potholes Please help.,Utility Issue,synthetic
Urgent: Municipal council taking too long for garbage pickup,Service Delay,synthetic
Urgent: Tree branches touching transformers causing sparks,Utility Issue,synthetic
Harassment of small business owners by officials,Harassment,synthetic
Requesting immediate action: Unauthorized deductions from my salary,Financial Issue,synthetic
Urgent: Land records update request ignored,Service Delay,synthetic
Serious problem: Contaminated water coming from public pump,Utility Issue,synthetic
I want to report: Discriminated against based on my caste,Harassment,synthetic
"Dear Sir, Contractor paid kickback to get the tender approved",Corruption,synthetic
There is a problem in our colony. Police officer asking for bribe to release vehicle,Corruption,synthetic
There is a problem in our colony. Insurance claim rejected without valid reason,Financial Issue,synthetic
Urgent: Provident fund withdrawal stuck in system,Financial Issue,synthetic
Serious problem: Inordinate delay in processing industrial permit,Service Delay,synthetic
I want to report: Voter list manipulation by election officers,Corruption,synthetic
Complaint regarding: Sewage overflow on the main road near our house,Utility Issue,synthetic
Serious problem: Illegal weapons found but no investigation,Law Enforcement Issue,synthetic
There is a problem in our colony. Poor road conditions with multiple potholes,Utility Issue,synthetic
I want to report: Hidden fees charged without disclosure,Financial Issue,synthetic
There is a problem in our colony. Illegal construction on storm water drains,Utility Issue,synthetic
"Dear Sir, GST calculation error on business taxes",Financial Issue,synthetic
Urgent: Witness intimidation not handled by police,Law Enforcement Issue,synthetic
Requesting immediate action: Embezzlement detection in local branch,Financial Issue,synthetic
Mental torture by management,Harassment,synthetic
Serious problem: Subsidies promised are not reaching my account,Financial Issue,synthetic
I am facing a major issue. No action taken on complaint filed last month,Service Delay,synthetic
Requesting immediate action: Credit card charged for services not availed,Financial Issue,synthetic
Requesting immediate action: Error in interest calculation for mortgage,Financial Issue,synthetic
"Dear Sir, File moving too slowly between departments",Service Delay,synthetic
Issue: Illegal dumping of waste in residential area Please help.,Utility Issue,synthetic
Serious problem: Verbal abuse from government official during visit,Harassment,synthetic
I want to report: Hidden fees charged without disclosure,Financial Issue,synthetic
Urgent: Embezzlement detection in local branch,Financial Issue,synthetic
Serious problem: No water supply in our area for the past three days,Utility Issue,synthetic
Complaint regarding: Utility connection request pending for months,Service Delay,synthetic
Urgent: Misuse of public funds in road construction project,Corruption,synthetic
I want to report: Illegal search and seizure without warrant,Law Enforcement Issue,synthetic
Complaint regarding: Crop insurance premium deducted but claim not paid,Financial Issue,synthetic
Digital signature error preventing file upload for days,Service Delay,synthetic
I want to report: Bank refusing to process my loan application,Financial Issue,synthetic
"Dear Sir, Public shaming by official for small error",Harassment,synthetic
Urgent: Illegal commission charged for permit approval,Corruption,synthetic
I am facing a major issue. Long waiting list for government surgery,Service Delay,synthetic
I want to report: Discriminated against based on my caste,Harassment,synthetic
Urgent: Bullying and intimidation by colleagues,Harassment,synthetic
Requesting immediate action: Traffic sergeant demanding money for no reason,Corruption,synthetic
There is a problem in our colony. Illegal activities in neighborhood ignored by police,Law Enforcement Issue,synthetic
There is a problem in our colony. Name correction in school records is taking ages,Service Delay,synthetic
Serious problem: Refund not processed for cancelled service,Financial Issue,synthetic
"Dear Sir, Failure to pay contract workers on time",Financial Issue,synthetic
There is a problem in our colony. Unexplained fees for government services,Financial Issue,synthetic
I want to report: Government employee asking for extra money for service,Corruption,synthetic
"Dear Sir, Incessant load shedding during summer",Utility Issue,synthetic
Urgent: Forced into overtime without pay through threats,Harassment,synthetic
Serious problem: No update on application for housing scheme,Service Delay,synthetic
Complaint regarding: Embezzlement of funds meant for welfare scheme,Corruption,synthetic
I am facing a major issue. Public distribution system grain being sold in black market,Corruption,synthetic
"Dear Sir, Marriage certificate registration pending",Service Delay,synthetic
"Dear Sir, No response to RTI application filed three months ago",Service Delay,synthetic
I am facing a major issue. Loud noise from illegal factory in residential zone,Utility Issue,synthetic
I am facing a major issue. Double billing for water supply,Financial Issue,synthetic
"Dear Sir, Freedom fighter pension application hasn't moved for a year",Service Delay,synthetic
Harassment of small business owners by officials,Harassment,synthetic
Urgent: Property registration delayed without explanation,Service Delay,synthetic
Complaint regarding: Failure to report crime by officer,Law Enforcement Issue,synthetic
Urgent: Bullying and intimidation by colleagues,Harassment,synthetic
Requesting immediate action: Abuse of authority to target personal enemies,Harassment,synthetic
Urgent: Inadequate security for public events,Law Enforcement Issue,synthetic
"Dear Sir, No action against repeated domestic violence",Law Enforcement Issue,synthetic
Complaint regarding: Traffic sergeant took my license without a receipt,Law Enforcement Issue,synthetic
Urgent: Police vehicle used for personal errands while calls pending,Law Enforcement Issue,synthetic
I am facing a major issue. Dead animals lying on the street not removed,Utility Issue,synthetic
Serious problem: Water tank is never cleaned and full of moss,Utility Issue,synthetic
Serious problem: Officer taking money to hide illegal construction,Corruption,synthetic
I want to report: Fake accounts used to siphon off welfare money,Financial Issue,synthetic
Urgent: Street flooding after every minor rain,Utility Issue,synthetic
I am facing a major issue. Threatened with termination for filing complaint,Harassment,synthetic
Issue: Traffic laws not enforced on high-speed road Please help.,Law Enforcement Issue,synthetic
Mental torture by management,Harassment,synthetic
Complaint regarding: Dead animals lying on the street not removed,Utility Issue,synthetic
Requesting immediate action: Misuse of public funds in road construction project,Corruption,synthetic
Requesting immediate action: Illegal sand mining allowed after paying minor officials,Corruption,synthetic
I want to report: Marriage certificate registration pending,Service Delay,synthetic
Complaint regarding: Doctor at government hospital asking for money for treatment,Corruption,synthetic
"Dear Sir, Low water pressure making it hard to use",Utility Issue,synthetic
Issue: Public servants mocking my disability Please help.,Harassment,synthetic
Issue: Corruption within the police department Please help.,Law Enforcement Issue,synthetic
I want to report: No security provided despite threat to life,Law Enforcement Issue,synthetic
I want to report: Stalking and intimidation at workplace,Harassment,synthetic
Requesting immediate action: Safety concerns at public place not addressed,Law Enforcement Issue,synthetic
No water supply in our area for the past three days,Utility Issue,synthetic
I want to report: Call center for grievances never picks up the phone,Service Delay,synthetic
I want to report: Failure to pay contract workers on time,Financial Issue,synthetic
I am facing a major issue. Methane leak from neighborhood landfill,Utility Issue,synthetic
Issue: Streetlights not working in our colony for weeks Please help.,Utility Issue,synthetic
Serious problem: Overcharged on electricity bill this month,Financial Issue,synthetic
Complaint regarding: Audit findings show financial discrepancy,Financial Issue,synthetic
Issue: Staff at registrar office asking for bribe for land record Please help.,Corruption,synthetic
Refund not processed for cancelled service,Financial Issue,synthetic
There is a problem in our colony. Pension officer claiming files are lost unless I pay him,Corruption,synthetic
Urgent: Embezzlement detection in local branch,Financial Issue,synthetic
Urgent: Potholes on the main highway causing traffic,Utility Issue,synthetic
"Dear Sir, Mental health issues caused by toxic workspace",Harassment,synthetic
Serious problem: Officer taking money to hide illegal construction,Corruption,synthetic
Urgent: Waiting for approval of hospital bill reimbursement,Service Delay,synthetic
"Dear Sir, Intimidation to withdraw legal case",Harassment,synthetic
Issue: Funds allocated for school being stolen by officials Please help.,Corruption,synthetic
Serious problem: Fraudulent billing by government contractor,Corruption,synthetic
Complaint regarding: Hit and run case not being investigated properly,Law Enforcement Issue,synthetic
Pension papers stuck in bureaucratic process,Service Delay,synthetic
"Dear Sir, Trade license renewal taking forever",Service Delay,synthetic
Issue: False allegations made against me to get me fired Please help.,Harassment,synthetic
There is a problem in our colony. Funds allocated for school being stolen by officials,Corruption,synthetic
I want to report: Frequent power outages affecting our neighborhood,Utility Issue,synthetic
"Dear Sir, Frequent power outages affecting our neighborhood",Utility Issue,synthetic
I am facing a major issue. Long waiting list for government surgery,Service Delay,synthetic
Requesting immediate action: Inadequate security for public events,Law Enforcement Issue,synthetic
Requesting immediate action: Municipal council taking too long for garbage pickup,Service Delay,synthetic
I am facing a major issue. Corruption in local council office,Corruption,synthetic
I am facing a major issue. Facing threats from local goons with political connections,Harassment,synthetic
I am facing a major issue. Failure to serve court summons,Law Enforcement Issue,synthetic
Online harassment by government employee,Harassment,synthetic
Complaint regarding: No action taken on complaint filed last month,Service Delay,synthetic
Issue: False allegations made against me to get me fired Please help.,Harassment,synthetic
Serious problem: Online harassment by government employee,Harassment,synthetic
"Dear Sir, No security provided despite threat to life",Law Enforcement Issue,synthetic
Complaint regarding: Audit findings show financial discrepancy,Financial Issue,synthetic
"Dear Sir, Tax inspector demanding bribe to reduce assessment",Corruption,synthetic
"Dear Sir, Government employee asking for extra money for service",Corruption,synthetic
Issue: Driving license renewal taking too long Please help.,Service Delay,synthetic
Supervisor making inappropriate comments at workplace,Harassment,synthetic
Complaint regarding: Audit findings show financial discrepancy,Financial Issue,synthetic
I am facing a major issue. Doctor at government hospital asking for money for treatment,Corruption,synthetic
Issue: Sexual harassment by senior officer in the department Please help.,Harassment,synthetic
"Dear Sir, Stalking and intimidation at workplace",Harassment,synthetic
Public fund diverted for private functions,Financial Issue,synthetic
"Dear Sir, Intimidation to withdraw legal case",Harassment,synthetic
Complaint regarding: Audit of the society reveals missing 5 million,Financial Issue,synthetic
I want to report: GST calculation error on business taxes,Financial Issue,synthetic
Serious problem: Government official demanded bribe for processing my application,Corruption,synthetic
Serious problem: Supervisor making inappropriate comments at workplace,Harassment,synthetic
Requesting immediate action: Tree branches touching transformers causing sparks,Utility Issue,synthetic
There is a problem in our colony. Dust pollution from construction site without covers,Utility Issue,synthetic
Serious problem: Harassment of small business owners by officials,Harassment,synthetic
"Dear Sir, Government employee asking for extra money for service",Corruption,synthetic
Requesting immediate action: Gas supply interrupted without any notice,Utility Issue,synthetic
Issue: False allegations made against me to get me fired Please help.,Harassment,synthetic
Serious problem: Customs officer asking for illegal fee,Corruption,synthetic
Complaint regarding: Electricity department worker asking for money to fix transformer,Corruption,synthetic
Urgent: Misuse of public funds in road construction project,Corruption,synthetic
Requesting immediate action: Abuse of authority to target personal enemies,Harassment,synthetic
Incorrect income tax refund amount,Financial Issue,synthetic
Complaint regarding: Public land sold illegally by corrupted officials,Corruption,synthetic
Issue: Illegal construction on storm water drains Please help.,Utility Issue,synthetic
Complaint regarding: Failure to serve court summons,Law Enforcement Issue,synthetic
Issue: Ration card application still under process Please help.,Service Delay,synthetic
I want to report: Fake accounts used to siphon off welfare money,Financial Issue,synthetic
Complaint regarding: Threatened with termination for filing complaint,Harassment,synthetic
"Dear Sir, Stock market fraud affecting my savings",Financial Issue,synthetic
I want to report: Intimidation to withdraw legal case,Harassment,synthetic
Urgent: Toxic waste being dumped into the local pond,Utility Issue,synthetic
I want to report: Frequent power outages affecting our neighborhood,Utility Issue,synthetic
"Dear Sir, Fake accounts used to siphon off welfare money",Financial Issue,synthetic
Issue: Poor road conditions with multiple potholes Please help.,Utility Issue,synthetic
Requesting immediate action: Illegal commission charged for permit approval,Corruption,synthetic
Urgent: Traffic sergeant demanding money for no reason,Corruption,synthetic
Complaint regarding: Illegal gambling den running with local police support,Law Enforcement Issue,synthetic
Urgent: Waiting for approval of hospital bill reimbursement,Service Delay,synthetic
I am facing a major issue. Denial of promotion due to personal grudge,Harassment,synthetic
Urgent: Local leader using thugs to grab my ancestor's land,Harassment,synthetic
Officer taking money to hide illegal construction,Corruption,synthetic
"Dear Sir, Intimidation to withdraw legal case",Harassment,synthetic
Requesting immediate action: Gender-based violence ignored by supervisor,Harassment,synthetic
Issue: Open manhole on the sidewalk is dangerous Please help.,Utility Issue,synthetic
Complaint regarding: Lack of police patrolling at night,Law Enforcement Issue,synthetic
Complaint regarding: Officer asked for money under the table to clear my file,Corruption,synthetic
Passport application pending for over six months,Service Delay,synthetic
Issue: Blackmail by someone with power Please help.,Harassment,synthetic
Requesting immediate action: Malfunctioning traffic lights at main crossing,Utility Issue,synthetic
Issue: Domestic abuse reported but no police arrival Please help.,Law Enforcement Issue,synthetic
I am facing a major issue. Audit of the society reveals missing 5 million,Financial Issue,synthetic
Broken power line hanging dangerously,Utility Issue,synthetic
Requesting immediate action: Traffic sergeant demanding money for no reason,Corruption,synthetic
Urgent: Forced into overtime without pay through threats,Harassment,synthetic
Serious problem: Government official demanded bribe for processing my application,Corruption,synthetic
Urgent: Embezzlement detection in local branch,Financial Issue,synthetic
Serious problem: Passport application pending for over six months,Service Delay,synthetic
I am facing a major issue. Crop insurance premium deducted but claim not paid,Financial Issue,synthetic
Police not registering FIR for theft complaint,Law Enforcement Issue,synthetic
I am facing a major issue. No action taken on complaint filed last month,Service Delay,synthetic
I am facing a major issue. Audit findings show financial discrepancy,Financial Issue,synthetic
I am facing a major issue. Portal is showing processing for the last 90 days,Service Delay,synthetic
There is a problem in our colony. Blackmail by someone with power,Harassment,synthetic
There is a problem in our colony. Failure to investigate suspicious death in my lane,Law Enforcement Issue,synthetic
Complaint regarding: Discrepancy in pension payments,Financial Issue,synthetic
There is a problem in our colony. Nepotism in hiring at the municipal office,Corruption,synthetic
Serious problem: Government official demanded bribe for processing my application,Corruption,synthetic
Serious problem: Water smells like chemicals in our taps,Utility Issue,synthetic
Account hacked and money stolen,Financial Issue,synthetic
Urgent: Witness intimidation not handled by police,Law Enforcement Issue,synthetic
I am facing a major issue. Hit and run case not being investigated properly,Law Enforcement Issue,synthetic
Urgent: Harassed by inspector during routine check,Harassment,synthetic
Urgent: Safety concerns at public place not addressed,Law Enforcement Issue,synthetic
