text,category,source,cleaned_text,mapped_category
Serious problem: Pension papers stuck in bureaucratic process,Service Delay,synthetic,serious problem pension paper stuck bureaucratic process,Service Delay
Complaint regarding: Officer asked for money under the table to clear my file,Corruption,synthetic,complaint regarding officer asked money table clear file,Corruption
Illegal weapons found but no investigation,Law Enforcement Issue,synthetic,illegal weapon found investigation,Law Enforcement Issue
I want to report: Marriage certificate registration pending,Service Delay,synthetic,want report marriage certificate registration pending,Service Delay
I want to report: Public shaming by official for small error,Harassment,synthetic,want report public shaming official small error,Harassment
I am facing a major issue. Public distribution system grain being sold in black market,Corruption,synthetic,facing major issue public distribution system grain sold black market,Corruption
I am facing a major issue. Failure to report crime by officer,Law Enforcement Issue,synthetic,facing major issue failure report crime officer,Law Enforcement Issue
I want to report: Incessant load shedding during summer,Utility Issue,synthetic,want report incessant load shedding summer,Utility Issue
Complaint regarding: Discrepancy in pension payments,Financial Issue,synthetic,complaint regarding discrepancy pension payment,Financial Issue
Verbal abuse from government official during visit,Harassment,synthetic,verbal abuse government official visit,Harassment
There is a problem in our colony. Public servants mocking my disability,Harassment,synthetic,problem colony public servant mocking disability,Harassment
There is a problem in our colony. False allegations made against me to get me fired,Harassment,synthetic,problem colony false allegation made get fired,Harassment
"Dear Sir, Incessant load shedding during summer",Utility Issue,synthetic,dear sir incessant load shedding summer,Utility Issue
Serious problem: Funds for poor people were stolen by local representative,Corruption,synthetic,serious problem fund poor people stolen local representative,Corruption
I am facing a major issue. Corruption in local council office,Corruption,synthetic,facing major issue corruption local council office,Corruption
There is a problem in our colony. Open manhole on the sidewalk is dangerous,Utility Issue,synthetic,problem colony open manhole sidewalk dangerous,Utility Issue
"Dear Sir, Contractor paid kickback to get the tender approved",Corruption,synthetic,dear sir contractor paid kickback get tender approved,Corruption
Serious problem: Customs officer asking for illegal fee,Corruption,synthetic,serious problem custom officer asking illegal fee,Corruption
Complaint regarding: Long waiting list for government surgery,Service Delay,synthetic,complaint regarding long waiting list government surgery,Service Delay
Issue: Open manhole on the sidewalk is dangerous Please help.,Utility Issue,synthetic,issue open manhole sidewalk dangerous please help,Utility Issue
Officer taking money to hide illegal construction,Corruption,synthetic,officer taking money hide illegal construction,Corruption
I am facing a major issue. Traffic sergeant took my license without a receipt,Law Enforcement Issue,synthetic,facing major issue traffic sergeant took license without receipt,Law Enforcement Issue
I am facing a major issue. Double billing for water supply,Financial Issue,synthetic,facing major issue double billing water supply,Financial Issue
Serious problem: Online harassment by government employee,Harassment,synthetic,serious problem online harassment government employee,Harassment
I am facing a major issue. Long waiting list for government surgery,Service Delay,synthetic,facing major issue long waiting list government surgery,Service Delay
Complaint regarding: Utility connection request pending for months,Service Delay,synthetic,complaint regarding utility connection request pending month,Service Delay
I want to report: File moving too slowly between departments,Service Delay,synthetic,want report file moving slowly department,Service Delay
Issue: Domestic abuse reported but no police arrival Please help.,Law Enforcement Issue,synthetic,issue domestic abuse reported police arrival please help,Law Enforcement Issue
Serious problem: Contaminated water coming from public pump,Utility Issue,synthetic,serious problem contaminated water coming public pump,Utility Issue
Issue: Bounced check from government department Please help.,Financial Issue,synthetic,issue bounced check government department please help,Financial Issue
"Dear Sir, High voltage causing damage to appliances",Utility Issue,synthetic,dear sir high voltage causing damage appliance,Utility Issue
Issue: Pension not credited to account for three months Please help.,Financial Issue,synthetic,issue pension credited account three month please help,Financial Issue
Funds for poor people were stolen by local representative,Corruption,synthetic,fund poor people stolen local representative,Corruption
Complaint regarding: Doctor at government hospital asking for money for treatment,Corruption,synthetic,complaint regarding doctor government hospital asking money treatment,Corruption
There is a problem in our colony. Blackmail by someone with power,Harassment,synthetic,problem colony blackmail someone power,Harassment
Complaint regarding: Crop insurance premium deducted but claim not paid,Financial Issue,synthetic,complaint regarding crop insurance premium deducted claim paid,Financial Issue
Urgent: Safety concerns at public place not addressed,Law Enforcement Issue,synthetic,urgent safety concern public place addressed,Law Enforcement Issue
Complaint regarding: Application lost in transit between offices,Service Delay,synthetic,complaint regarding application lost transit office,Service Delay
There is a problem in our colony. Facing discrimination due to my gender,Harassment,synthetic,problem colony facing discrimination due gender,Harassment
I am facing a major issue. No action taken on complaint filed last month,Service Delay,synthetic,facing major issue action taken complaint filed last month,Service Delay
Complaint regarding: Embezzlement of funds meant for welfare scheme,Corruption,synthetic,complaint regarding embezzlement fund meant welfare scheme,Corruption
I want to report: Police taking sides in property dispute,Law Enforcement Issue,synthetic,want report police taking side property dispute,Law Enforcement Issue
Complaint regarding: Portal is showing processing for the last 90 days,Service Delay,synthetic,complaint regarding portal showing processing last day,Service Delay
Fraudulent billing by government contractor,Corruption,synthetic,fraudulent billing government contractor,Corruption
Water tank is never cleaned and full of moss,Utility Issue,synthetic,water tank never cleaned full moss,Utility Issue
There is a problem in our colony. Sexual harassment by senior officer in the department,Harassment,synthetic,problem colony sexual harassment senior officer department,Harassment
Requesting immediate action: Local leader using thugs to grab my ancestor's land,Harassment,synthetic,requesting immediate action local leader using thug grab ancestor land,Harassment
Requesting immediate action: Toxic waste being dumped into the local pond,Utility Issue,synthetic,requesting immediate action toxic waste dumped local pond,Utility Issue
I want to report: Building permit application pending for a year,Service Delay,synthetic,want report building permit application pending year,Service Delay
Requesting immediate action: Service tax charged after it was abolished,Financial Issue,synthetic,requesting immediate action service tax charged abolished,Financial Issue
Requesting immediate action: Illegal sand mining allowed after paying minor officials,Corruption,synthetic,requesting immediate action illegal sand mining allowed paying minor official,Corruption
I am facing a major issue. Utility connection request pending for months,Service Delay,synthetic,facing major issue utility connection request pending month,Service Delay
"Dear Sir, Electricity meter showing wrong readings",Utility Issue,synthetic,dear sir electricity meter showing wrong reading,Utility Issue
Urgent: Tree branches touching transformers causing sparks,Utility Issue,synthetic,urgent tree branch touching transformer causing spark,Utility Issue
Requesting immediate action: Credit card charged for services not availed,Financial Issue,synthetic,requesting immediate action credit card charged service availed,Financial Issue
I am facing a major issue. Portal is showing processing for the last 90 days,Service Delay,synthetic,facing major issue portal showing processing last day,Service Delay
"Dear Sir, No action against repeated domestic violence",Law Enforcement Issue,synthetic,dear sir action repeated domestic violence,Law Enforcement Issue
Complaint regarding: Double billing for water supply,Financial Issue,synthetic,complaint regarding double billing water supply,Financial Issue
Issue: Religious discrimination in public service Please help.,Harassment,synthetic,issue religious discrimination public service please help,Harassment
I want to report: Bank refusing to process my loan application,Financial Issue,synthetic,want report bank refusing process loan application,Financial Issue
Complaint regarding: Loud noise from illegal factory in residential zone,Utility Issue,synthetic,complaint regarding loud noise illegal factory residential zone,Utility Issue
Serious problem: No water supply in our area for the past three days,Utility Issue,synthetic,serious problem water supply area past three day,Utility Issue
Complaint regarding: Threatened with termination for filing complaint,Harassment,synthetic,complaint regarding threatened termination filing complaint,Harassment
Police harassment during peaceful protest,Law Enforcement Issue,synthetic,police harassment peaceful protest,Law Enforcement Issue
Requesting immediate action: Inadequate security for public events,Law Enforcement Issue,synthetic,requesting immediate action inadequate security public event,Law Enforcement Issue
There is a problem in our colony. Failure to investigate suspicious death in my lane,Law Enforcement Issue,synthetic,problem colony failure investigate suspicious death lane,Law Enforcement Issue
Requesting immediate action: Abuse of authority to target personal enemies,Harassment,synthetic,requesting immediate action abuse authority target personal enemy,Harassment
Urgent: Municipal council taking too long for garbage pickup,Service Delay,synthetic,urgent municipal council taking long garbage pickup,Service Delay
Urgent: Illegal recruitment process in government department,Corruption,synthetic,urgent illegal recruitment process government department,Corruption
Issue: Pension officer claiming files are lost unless I pay him Please help.,Corruption,synthetic,issue pension officer claiming file lost unless pay please help,Corruption
I want to report: Drought relief fund not distributed correctly,Financial Issue,synthetic,want report drought relief fund distributed correctly,Financial Issue
There is a problem in our colony. Delay in processing student scholarship,Service Delay,synthetic,problem colony delay processing student scholarship,Service Delay
Serious problem: Aadhar card update pending for weeks,Service Delay,synthetic,serious problem aadhar card update pending week,Service Delay
Requesting immediate action: Malfunctioning traffic lights at main crossing,Utility Issue,synthetic,requesting immediate action malfunctioning traffic light main crossing,Utility Issue
Serious problem: Sewer lines are choked and backing up into basements,Utility Issue,synthetic,serious problem sewer line choked backing basement,Utility Issue
I am facing a major issue. Embezzlement of funds meant for welfare scheme,Corruption,synthetic,facing major issue embezzlement fund meant welfare scheme,Corruption
Urgent: Fake vouchers submitted for government travel reimbursement,Corruption,synthetic,urgent fake voucher submitted government travel reimbursement,Corruption
There is a problem in our colony. Security clearance for employment is taking forever,Service Delay,synthetic,problem colony security clearance employment taking forever,Service Delay
Urgent: Forced into overtime without pay through threats,Harassment,synthetic,urgent forced overtime without pay threat,Harassment
Urgent: Health card issuance delayed,Service Delay,synthetic,urgent health card issuance delayed,Service Delay
Requesting immediate action: Safety concerns at public place not addressed,Law Enforcement Issue,synthetic,requesting immediate action safety concern public place addressed,Law Enforcement Issue
Serious problem: Fraudulent billing by government contractor,Corruption,synthetic,serious problem fraudulent billing government contractor,Corruption
I want to report: Mental health issues caused by toxic workspace,Harassment,synthetic,want report mental health issue caused toxic workspace,Harassment
Urgent: Property registration delayed without explanation,Service Delay,synthetic,urgent property registration delayed without explanation,Service Delay
Serious problem: Illegal weapons found but no investigation,Law Enforcement Issue,synthetic,serious problem illegal weapon found investigation,Law Enforcement Issue
Issue: Illegal activities in neighborhood ignored by police Please help.,Law Enforcement Issue,synthetic,issue illegal activity neighborhood ignored police please help,Law Enforcement Issue
I am facing a major issue. Failure to serve court summons,Law Enforcement Issue,synthetic,facing major issue failure serve court summons,Law Enforcement Issue
"Dear Sir, Call center for grievances never picks up the phone",Service Delay,synthetic,dear sir call center grievance never pick phone,Service Delay
Complaint regarding: Public distribution system grain being sold in black market,Corruption,synthetic,complaint regarding public distribution system grain sold black market,Corruption
There is a problem in our colony. Domestic abuse reported but no police arrival,Law Enforcement Issue,synthetic,problem colony domestic abuse reported police arrival,Law Enforcement Issue
There is a problem in our colony. Funds allocated for school being stolen by officials,Corruption,synthetic,problem colony fund allocated school stolen official,Corruption
"Dear Sir, Illegal search and seizure without warrant",Law Enforcement Issue,synthetic,dear sir illegal search seizure without warrant,Law Enforcement Issue
Requesting immediate action: Illegal commission charged for permit approval,Corruption,synthetic,requesting immediate action illegal commission charged permit approval,Corruption
Serious problem: Subsidies promised are not reaching my account,Financial Issue,synthetic,serious problem subsidy promised reaching account,Financial Issue
Death certificate application is stuck for 40 days,Service Delay,synthetic,death certificate application stuck day,Service Delay
"Dear Sir, No security provided despite threat to life",Law Enforcement Issue,synthetic,dear sir security provided despite threat life,Law Enforcement Issue
Urgent: Misuse of public funds in road construction project,Corruption,synthetic,urgent misuse public fund road construction project,Corruption
I want to report: Call center for grievances never picks up the phone,Service Delay,synthetic,want report call center grievance never pick phone,Service Delay
Requesting immediate action: Waiting for approval of hospital bill reimbursement,Service Delay,synthetic,requesting immediate action waiting approval hospital bill reimbursement,Service Delay
Urgent: Inadequate security for public events,Law Enforcement Issue,synthetic,urgent inadequate security public event,Law Enforcement Issue
I am facing a major issue. Methane leak from neighborhood landfill,Utility Issue,synthetic,facing major issue methane leak neighborhood landfill,Utility Issue
Requesting immediate action: Error in interest calculation for mortgage,Financial Issue,synthetic,requesting immediate action error interest calculation mortgage,Financial Issue
Serious problem: Inordinate delay in processing industrial permit,Service Delay,synthetic,serious problem inordinate delay processing industrial permit,Service Delay
Police not registering FIR for theft complaint,Law Enforcement Issue,synthetic,police registering fir theft complaint,Law Enforcement Issue
Pension papers stuck in bureaucratic process,Service Delay,synthetic,pension paper stuck bureaucratic process,Service Delay
I am facing a major issue. Facing threats from local goons with political connections,Harassment,synthetic,facing major issue facing threat local goon political connection,Harassment
I am facing a major issue. Birth certificate not issued despite multiple visits,Service Delay,synthetic,facing major issue birth certificate issued despite multiple visit,Service Delay
Urgent: Waiting for approval of hospital bill reimbursement,Service Delay,synthetic,urgent waiting approval hospital bill reimbursement,Service Delay
Issue: Police officer using abusive language with citizens Please help.,Law Enforcement Issue,synthetic,issue police officer using abusive language citizen please help,Law Enforcement Issue
Complaint regarding: Electricity department worker asking for money to fix transformer,Corruption,synthetic,complaint regarding electricity department worker asking money fix transformer,Corruption
Subsidies promised are not reaching my account,Financial Issue,synthetic,subsidy promised reaching account,Financial Issue
Customs officer asking for illegal fee,Corruption,synthetic,custom officer asking illegal fee,Corruption
I want to report: Official accepted bribe to overlook violations,Corruption,synthetic,want report official accepted bribe overlook violation,Corruption
Requesting immediate action: Embezzlement detection in local branch,Financial Issue,synthetic,requesting immediate action embezzlement detection local branch,Financial Issue
I want to report: Voter list manipulation by election officers,Corruption,synthetic,want report voter list manipulation election officer,Corruption
Complaint regarding: Illegal gambling den running with local police support,Law Enforcement Issue,synthetic,complaint regarding illegal gambling den running local police support,Law Enforcement Issue
There is a problem in our colony. Dust pollution from construction site without covers,Utility Issue,synthetic,problem colony dust pollution construction site without cover,Utility Issue
"Dear Sir, Trade license renewal taking forever",Service Delay,synthetic,dear sir trade license renewal taking forever,Service Delay
There is a problem in our colony. Corruption within the police department,Law Enforcement Issue,synthetic,problem colony corruption within police department,Law Enforcement Issue
Refund not processed for cancelled service,Financial Issue,synthetic,refund processed cancelled service,Financial Issue
Urgent: Toxic waste being dumped into the local pond,Utility Issue,synthetic,urgent toxic waste dumped local pond,Utility Issue
Complaint regarding: Denial of promotion due to personal grudge,Harassment,synthetic,complaint regarding denial promotion due personal grudge,Harassment
Overcharged on electricity bill this month,Financial Issue,synthetic,overcharged electricity bill month,Financial Issue
Serious problem: Bribe requested for passport verification,Corruption,synthetic,serious problem bribe requested passport verification,Corruption
Mental torture by management,Harassment,synthetic,mental torture management,Harassment
Serious problem: Thieves broke in but police said it was a small matter,Law Enforcement Issue,synthetic,serious problem thief broke police said small matter,Law Enforcement Issue
I want to report: Hidden fees charged without disclosure,Financial Issue,synthetic,want report hidden fee charged without disclosure,Financial Issue
Urgent: Witness intimidation not handled by police,Law Enforcement Issue,synthetic,urgent witness intimidation handled police,Law Enforcement Issue
Urgent: Embezzlement detection in local branch,Financial Issue,synthetic,urgent embezzlement detection local branch,Financial Issue
Urgent: Bullying and intimidation by colleagues,Harassment,synthetic,urgent bullying intimidation colleague,Harassment
Requesting immediate action: Traffic sergeant demanding money for no reason,Corruption,synthetic,requesting immediate action traffic sergeant demanding money reason,Corruption
There is a problem in our colony. Illegal activities in neighborhood ignored by police,Law Enforcement Issue,synthetic,problem colony illegal activity neighborhood ignored police,Law Enforcement Issue
Serious problem: Refund not processed for cancelled service,Financial Issue,synthetic,serious problem refund processed cancelled service,Financial Issue
I am facing a major issue. Loud noise from illegal factory in residential zone,Utility Issue,synthetic,facing major issue loud noise illegal factory residential zone,Utility Issue
Urgent: Police vehicle used for personal errands while calls pending,Law Enforcement Issue,synthetic,urgent police vehicle used personal errand call pending,Law Enforcement Issue
I want to report: Fake accounts used to siphon off welfare money,Financial Issue,synthetic,want report fake account used siphon welfare money,Financial Issue
Issue: Public servants mocking my disability Please help.,Harassment,synthetic,issue public servant mocking disability please help,Harassment
I want to report: Stalking and intimidation at workplace,Harassment,synthetic,want report stalking intimidation workplace,Harassment
I want to report: Failure to pay contract workers on time,Financial Issue,synthetic,want report failure pay contract worker time,Financial Issue
Serious problem: Overcharged on electricity bill this month,Financial Issue,synthetic,serious problem overcharged electricity bill month,Financial Issue
Complaint regarding: Audit findings show financial discrepancy,Financial Issue,synthetic,complaint regarding audit finding show financial discrepancy,Financial Issue
"Dear Sir, Intimidation to withdraw legal case",Harassment,synthetic,dear sir intimidation withdraw legal case,Harassment
Issue: False allegations made against me to get me fired Please help.,Harassment,synthetic,issue false allegation made get fired please help,Harassment
I want to report: Frequent power outages affecting our neighborhood,Utility Issue,synthetic,want report frequent power outage affecting neighborhood,Utility Issue
Requesting immediate action: Municipal council taking too long for garbage pickup,Service Delay,synthetic,requesting immediate action municipal council taking long garbage pickup,Service Delay
Online harassment by government employee,Harassment,synthetic,online harassment government employee,Harassment
"Dear Sir, Government employee asking for extra money for service",Corruption,synthetic,dear sir government employee asking extra money service,Corruption
I am facing a major issue. Doctor at government hospital asking for money for treatment,Corruption,synthetic,facing major issue doctor government hospital asking money treatment,Corruption
Serious problem: Government official demanded bribe for processing my application,Corruption,synthetic,serious problem government official demanded bribe processing application,Corruption
Serious problem: Supervisor making inappropriate comments at workplace,Harassment,synthetic,serious problem supervisor making inappropriate comment workplace,Harassment
Serious problem: Harassment of small business owners by officials,Harassment,synthetic,serious problem harassment small business owner official,Harassment
Urgent: Local leader using thugs to grab my ancestor's land,Harassment,synthetic,urgent local leader using thug grab ancestor land,Harassment
Requesting immediate action: Gender-based violence ignored by supervisor,Harassment,synthetic,requesting immediate action gender based violence ignored supervisor,Harassment
Complaint regarding: Lack of police patrolling at night,Law Enforcement Issue,synthetic,complaint regarding lack police patrolling night,Law Enforcement Issue
Passport application pending for over six months,Service Delay,synthetic,passport application pending six month,Service Delay
Serious problem: Water smells like chemicals in our taps,Utility Issue,synthetic,serious problem water smell like chemical tap,Utility Issue
Requesting immediate action: Missing child case handled poorly,Law Enforcement Issue,synthetic,requesting immediate action missing child case handled poorly,Law Enforcement Issue
I am facing a major issue. Public land sold illegally by corrupted officials,Corruption,synthetic,facing major issue public land sold illegally corrupted official,Corruption
Complaint regarding: Methane leak from neighborhood landfill,Utility Issue,synthetic,complaint regarding methane leak neighborhood landfill,Utility Issue
Serious problem: Police not registering FIR for theft complaint,Law Enforcement Issue,synthetic,serious problem police registering fir theft complaint,Law Enforcement Issue
"Dear Sir, Building permit application pending for a year",Service Delay,synthetic,dear sir building permit application pending year,Service Delay
Thieves broke in but police said it was a small matter,Law Enforcement Issue,synthetic,thief broke police said small matter,Law Enforcement Issue
Urgent: My stolen phone was tracked but police wont go there,Law Enforcement Issue,synthetic,urgent stolen phone tracked police wont go,Law Enforcement Issue
Requesting immediate action: Bullying and intimidation by colleagues,Harassment,synthetic,requesting immediate action bullying intimidation colleague,Harassment
"Dear Sir, Police taking sides in property dispute",Law Enforcement Issue,synthetic,dear sir police taking side property dispute,Law Enforcement Issue
Urgent: Illegal sand mining allowed after paying minor officials,Corruption,synthetic,urgent illegal sand mining allowed paying minor official,Corruption
I want to report: Tax inspector demanding bribe to reduce assessment,Corruption,synthetic,want report tax inspector demanding bribe reduce assessment,Corruption
